AccusedMasterID,RiskScore,RepeatOffenderFlag,TopFactors,LastComputedDate,ModelVersion
22,100.0,1,"{""prior_case_count"": 8, ""heinous_case_count"": 1, ""most_recent_case_days_ago"": 3, ""contribution_prior_cases"": 112, ""contribution_heinous"": 10, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
23,100.0,1,"{""prior_case_count"": 7, ""heinous_case_count"": 1, ""most_recent_case_days_ago"": 49, ""contribution_prior_cases"": 98, ""contribution_heinous"": 10, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
24,66.0,1,"{""prior_case_count"": 4, ""heinous_case_count"": 0, ""most_recent_case_days_ago"": 372, ""contribution_prior_cases"": 56, ""contribution_heinous"": 0, ""contribution_recency"": 0}",2026-07-13,heuristic-v1
25,77.0,1,"{""prior_case_count"": 3, ""heinous_case_count"": 1, ""most_recent_case_days_ago"": 35, ""contribution_prior_cases"": 42, ""contribution_heinous"": 10, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
26,100.0,1,"{""prior_case_count"": 8, ""heinous_case_count"": 1, ""most_recent_case_days_ago"": 35, ""contribution_prior_cases"": 112, ""contribution_heinous"": 10, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
27,95.0,1,"{""prior_case_count"": 5, ""heinous_case_count"": 0, ""most_recent_case_days_ago"": 18, ""contribution_prior_cases"": 70, ""contribution_heinous"": 0, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
28,100.0,1,"{""prior_case_count"": 16, ""heinous_case_count"": 3, ""most_recent_case_days_ago"": 129, ""contribution_prior_cases"": 224, ""contribution_heinous"": 30, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
29,100.0,1,"{""prior_case_count"": 5, ""heinous_case_count"": 1, ""most_recent_case_days_ago"": 92, ""contribution_prior_cases"": 70, ""contribution_heinous"": 10, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
30,100.0,1,"{""prior_case_count"": 5, ""heinous_case_count"": 1, ""most_recent_case_days_ago"": 3, ""contribution_prior_cases"": 70, ""contribution_heinous"": 10, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
31,100.0,1,"{""prior_case_count"": 14, ""heinous_case_count"": 2, ""most_recent_case_days_ago"": 51, ""contribution_prior_cases"": 196, ""contribution_heinous"": 20, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
32,91.0,1,"{""prior_case_count"": 4, ""heinous_case_count"": 1, ""most_recent_case_days_ago"": 171, ""contribution_prior_cases"": 56, ""contribution_heinous"": 10, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
33,100.0,1,"{""prior_case_count"": 11, ""heinous_case_count"": 3, ""most_recent_case_days_ago"": 3, ""contribution_prior_cases"": 154, ""contribution_heinous"": 30, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
34,100.0,1,"{""prior_case_count"": 11, ""heinous_case_count"": 3, ""most_recent_case_days_ago"": 3, ""contribution_prior_cases"": 154, ""contribution_heinous"": 30, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
35,100.0,1,"{""prior_case_count"": 7, ""heinous_case_count"": 2, ""most_recent_case_days_ago"": 54, ""contribution_prior_cases"": 98, ""contribution_heinous"": 20, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
36,100.0,1,"{""prior_case_count"": 14, ""heinous_case_count"": 2, ""most_recent_case_days_ago"": 51, ""contribution_prior_cases"": 196, ""contribution_heinous"": 20, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
37,100.0,1,"{""prior_case_count"": 5, ""heinous_case_count"": 2, ""most_recent_case_days_ago"": 58, ""contribution_prior_cases"": 70, ""contribution_heinous"": 20, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
38,100.0,1,"{""prior_case_count"": 6, ""heinous_case_count"": 2, ""most_recent_case_days_ago"": 139, ""contribution_prior_cases"": 84, ""contribution_heinous"": 20, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
39,100.0,1,"{""prior_case_count"": 11, ""heinous_case_count"": 2, ""most_recent_case_days_ago"": 34, ""contribution_prior_cases"": 154, ""contribution_heinous"": 20, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
40,100.0,1,"{""prior_case_count"": 4, ""heinous_case_count"": 2, ""most_recent_case_days_ago"": 62, ""contribution_prior_cases"": 56, ""contribution_heinous"": 20, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
41,100.0,1,"{""prior_case_count"": 6, ""heinous_case_count"": 1, ""most_recent_case_days_ago"": 66, ""contribution_prior_cases"": 84, ""contribution_heinous"": 10, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
42,100.0,1,"{""prior_case_count"": 5, ""heinous_case_count"": 1, ""most_recent_case_days_ago"": 89, ""contribution_prior_cases"": 70, ""contribution_heinous"": 10, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
43,100.0,1,"{""prior_case_count"": 8, ""heinous_case_count"": 3, ""most_recent_case_days_ago"": 3, ""contribution_prior_cases"": 112, ""contribution_heinous"": 30, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
44,100.0,1,"{""prior_case_count"": 9, ""heinous_case_count"": 2, ""most_recent_case_days_ago"": 84, ""contribution_prior_cases"": 126, ""contribution_heinous"": 20, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
45,100.0,1,"{""prior_case_count"": 6, ""heinous_case_count"": 1, ""most_recent_case_days_ago"": 3, ""contribution_prior_cases"": 84, ""contribution_heinous"": 10, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
46,77.0,1,"{""prior_case_count"": 3, ""heinous_case_count"": 1, ""most_recent_case_days_ago"": 80, ""contribution_prior_cases"": 42, ""contribution_heinous"": 10, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
47,91.0,1,"{""prior_case_count"": 4, ""heinous_case_count"": 1, ""most_recent_case_days_ago"": 113, ""contribution_prior_cases"": 56, ""contribution_heinous"": 10, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
48,100.0,1,"{""prior_case_count"": 9, ""heinous_case_count"": 3, ""most_recent_case_days_ago"": 269, ""contribution_prior_cases"": 126, ""contribution_heinous"": 30, ""contribution_recency"": 7}",2026-07-13,heuristic-v1
49,100.0,1,"{""prior_case_count"": 7, ""heinous_case_count"": 0, ""most_recent_case_days_ago"": 73, ""contribution_prior_cases"": 98, ""contribution_heinous"": 0, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
50,100.0,1,"{""prior_case_count"": 6, ""heinous_case_count"": 1, ""most_recent_case_days_ago"": 25, ""contribution_prior_cases"": 84, ""contribution_heinous"": 10, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
51,69.0,1,"{""prior_case_count"": 3, ""heinous_case_count"": 1, ""most_recent_case_days_ago"": 359, ""contribution_prior_cases"": 42, ""contribution_heinous"": 10, ""contribution_recency"": 7}",2026-07-13,heuristic-v1
52,100.0,1,"{""prior_case_count"": 9, ""heinous_case_count"": 3, ""most_recent_case_days_ago"": 269, ""contribution_prior_cases"": 126, ""contribution_heinous"": 30, ""contribution_recency"": 7}",2026-07-13,heuristic-v1
53,100.0,1,"{""prior_case_count"": 7, ""heinous_case_count"": 2, ""most_recent_case_days_ago"": 31, ""contribution_prior_cases"": 98, ""contribution_heinous"": 20, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
54,100.0,1,"{""prior_case_count"": 9, ""heinous_case_count"": 3, ""most_recent_case_days_ago"": 79, ""contribution_prior_cases"": 126, ""contribution_heinous"": 30, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
55,100.0,1,"{""prior_case_count"": 5, ""heinous_case_count"": 2, ""most_recent_case_days_ago"": 139, ""contribution_prior_cases"": 70, ""contribution_heinous"": 20, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
56,100.0,1,"{""prior_case_count"": 7, ""heinous_case_count"": 0, ""most_recent_case_days_ago"": 25, ""contribution_prior_cases"": 98, ""contribution_heinous"": 0, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
57,100.0,1,"{""prior_case_count"": 9, ""heinous_case_count"": 2, ""most_recent_case_days_ago"": 3, ""contribution_prior_cases"": 126, ""contribution_heinous"": 20, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
58,91.0,1,"{""prior_case_count"": 4, ""heinous_case_count"": 1, ""most_recent_case_days_ago"": 144, ""contribution_prior_cases"": 56, ""contribution_heinous"": 10, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
59,100.0,1,"{""prior_case_count"": 18, ""heinous_case_count"": 4, ""most_recent_case_days_ago"": 23, ""contribution_prior_cases"": 252, ""contribution_heinous"": 40, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
60,52.0,1,"{""prior_case_count"": 3, ""heinous_case_count"": 0, ""most_recent_case_days_ago"": 462, ""contribution_prior_cases"": 42, ""contribution_heinous"": 0, ""contribution_recency"": 0}",2026-07-13,heuristic-v1
61,81.0,1,"{""prior_case_count"": 4, ""heinous_case_count"": 0, ""most_recent_case_days_ago"": 169, ""contribution_prior_cases"": 56, ""contribution_heinous"": 0, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
62,100.0,1,"{""prior_case_count"": 7, ""heinous_case_count"": 3, ""most_recent_case_days_ago"": 20, ""contribution_prior_cases"": 98, ""contribution_heinous"": 30, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
63,38.0,1,"{""prior_case_count"": 2, ""heinous_case_count"": 0, ""most_recent_case_days_ago"": 437, ""contribution_prior_cases"": 28, ""contribution_heinous"": 0, ""contribution_recency"": 0}",2026-07-13,heuristic-v1
64,53.0,1,"{""prior_case_count"": 2, ""heinous_case_count"": 0, ""most_recent_case_days_ago"": 122, ""contribution_prior_cases"": 28, ""contribution_heinous"": 0, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
65,100.0,1,"{""prior_case_count"": 7, ""heinous_case_count"": 3, ""most_recent_case_days_ago"": 140, ""contribution_prior_cases"": 98, ""contribution_heinous"": 30, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
66,100.0,1,"{""prior_case_count"": 6, ""heinous_case_count"": 2, ""most_recent_case_days_ago"": 3, ""contribution_prior_cases"": 84, ""contribution_heinous"": 20, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
67,100.0,1,"{""prior_case_count"": 5, ""heinous_case_count"": 3, ""most_recent_case_days_ago"": 31, ""contribution_prior_cases"": 70, ""contribution_heinous"": 30, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
68,100.0,1,"{""prior_case_count"": 18, ""heinous_case_count"": 4, ""most_recent_case_days_ago"": 23, ""contribution_prior_cases"": 252, ""contribution_heinous"": 40, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
69,100.0,1,"{""prior_case_count"": 14, ""heinous_case_count"": 4, ""most_recent_case_days_ago"": 23, ""contribution_prior_cases"": 196, ""contribution_heinous"": 40, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
70,100.0,1,"{""prior_case_count"": 4, ""heinous_case_count"": 2, ""most_recent_case_days_ago"": 31, ""contribution_prior_cases"": 56, ""contribution_heinous"": 20, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
71,100.0,1,"{""prior_case_count"": 4, ""heinous_case_count"": 3, ""most_recent_case_days_ago"": 53, ""contribution_prior_cases"": 56, ""contribution_heinous"": 30, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
72,77.0,1,"{""prior_case_count"": 3, ""heinous_case_count"": 1, ""most_recent_case_days_ago"": 16, ""contribution_prior_cases"": 42, ""contribution_heinous"": 10, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
73,100.0,1,"{""prior_case_count"": 9, ""heinous_case_count"": 3, ""most_recent_case_days_ago"": 269, ""contribution_prior_cases"": 126, ""contribution_heinous"": 30, ""contribution_recency"": 7}",2026-07-13,heuristic-v1
74,100.0,1,"{""prior_case_count"": 6, ""heinous_case_count"": 3, ""most_recent_case_days_ago"": 96, ""contribution_prior_cases"": 84, ""contribution_heinous"": 30, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
75,100.0,1,"{""prior_case_count"": 6, ""heinous_case_count"": 2, ""most_recent_case_days_ago"": 49, ""contribution_prior_cases"": 84, ""contribution_heinous"": 20, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
76,100.0,1,"{""prior_case_count"": 4, ""heinous_case_count"": 2, ""most_recent_case_days_ago"": 3, ""contribution_prior_cases"": 56, ""contribution_heinous"": 20, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
77,100.0,1,"{""prior_case_count"": 10, ""heinous_case_count"": 3, ""most_recent_case_days_ago"": 66, ""contribution_prior_cases"": 140, ""contribution_heinous"": 30, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
78,100.0,1,"{""prior_case_count"": 6, ""heinous_case_count"": 0, ""most_recent_case_days_ago"": 125, ""contribution_prior_cases"": 84, ""contribution_heinous"": 0, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
79,100.0,1,"{""prior_case_count"": 5, ""heinous_case_count"": 1, ""most_recent_case_days_ago"": 128, ""contribution_prior_cases"": 70, ""contribution_heinous"": 10, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
80,100.0,1,"{""prior_case_count"": 12, ""heinous_case_count"": 2, ""most_recent_case_days_ago"": 34, ""contribution_prior_cases"": 168, ""contribution_heinous"": 20, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
81,100.0,1,"{""prior_case_count"": 4, ""heinous_case_count"": 2, ""most_recent_case_days_ago"": 23, ""contribution_prior_cases"": 56, ""contribution_heinous"": 20, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
82,100.0,1,"{""prior_case_count"": 14, ""heinous_case_count"": 5, ""most_recent_case_days_ago"": 23, ""contribution_prior_cases"": 196, ""contribution_heinous"": 50, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
83,100.0,1,"{""prior_case_count"": 4, ""heinous_case_count"": 2, ""most_recent_case_days_ago"": 23, ""contribution_prior_cases"": 56, ""contribution_heinous"": 20, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
84,100.0,1,"{""prior_case_count"": 6, ""heinous_case_count"": 3, ""most_recent_case_days_ago"": 23, ""contribution_prior_cases"": 84, ""contribution_heinous"": 30, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
85,100.0,1,"{""prior_case_count"": 14, ""heinous_case_count"": 4, ""most_recent_case_days_ago"": 23, ""contribution_prior_cases"": 196, ""contribution_heinous"": 40, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
86,100.0,1,"{""prior_case_count"": 8, ""heinous_case_count"": 6, ""most_recent_case_days_ago"": 21, ""contribution_prior_cases"": 112, ""contribution_heinous"": 60, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
87,100.0,1,"{""prior_case_count"": 6, ""heinous_case_count"": 0, ""most_recent_case_days_ago"": 125, ""contribution_prior_cases"": 84, ""contribution_heinous"": 0, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
88,100.0,1,"{""prior_case_count"": 7, ""heinous_case_count"": 2, ""most_recent_case_days_ago"": 54, ""contribution_prior_cases"": 98, ""contribution_heinous"": 20, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
89,63.0,1,"{""prior_case_count"": 2, ""heinous_case_count"": 1, ""most_recent_case_days_ago"": 59, ""contribution_prior_cases"": 28, ""contribution_heinous"": 10, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
90,100.0,1,"{""prior_case_count"": 9, ""heinous_case_count"": 4, ""most_recent_case_days_ago"": 41, ""contribution_prior_cases"": 126, ""contribution_heinous"": 40, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
91,81.0,1,"{""prior_case_count"": 4, ""heinous_case_count"": 0, ""most_recent_case_days_ago"": 116, ""contribution_prior_cases"": 56, ""contribution_heinous"": 0, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
92,100.0,1,"{""prior_case_count"": 8, ""heinous_case_count"": 2, ""most_recent_case_days_ago"": 3, ""contribution_prior_cases"": 112, ""contribution_heinous"": 20, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
93,53.0,1,"{""prior_case_count"": 2, ""heinous_case_count"": 0, ""most_recent_case_days_ago"": 3, ""contribution_prior_cases"": 28, ""contribution_heinous"": 0, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
94,100.0,1,"{""prior_case_count"": 17, ""heinous_case_count"": 5, ""most_recent_case_days_ago"": 51, ""contribution_prior_cases"": 238, ""contribution_heinous"": 50, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
95,97.0,1,"{""prior_case_count"": 5, ""heinous_case_count"": 1, ""most_recent_case_days_ago"": 243, ""contribution_prior_cases"": 70, ""contribution_heinous"": 10, ""contribution_recency"": 7}",2026-07-13,heuristic-v1
96,100.0,1,"{""prior_case_count"": 9, ""heinous_case_count"": 2, ""most_recent_case_days_ago"": 33, ""contribution_prior_cases"": 126, ""contribution_heinous"": 20, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
97,100.0,1,"{""prior_case_count"": 7, ""heinous_case_count"": 4, ""most_recent_case_days_ago"": 15, ""contribution_prior_cases"": 98, ""contribution_heinous"": 40, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
98,100.0,1,"{""prior_case_count"": 8, ""heinous_case_count"": 3, ""most_recent_case_days_ago"": 3, ""contribution_prior_cases"": 112, ""contribution_heinous"": 30, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
99,100.0,1,"{""prior_case_count"": 8, ""heinous_case_count"": 1, ""most_recent_case_days_ago"": 3, ""contribution_prior_cases"": 112, ""contribution_heinous"": 10, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
100,100.0,1,"{""prior_case_count"": 5, ""heinous_case_count"": 1, ""most_recent_case_days_ago"": 3, ""contribution_prior_cases"": 70, ""contribution_heinous"": 10, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
101,100.0,1,"{""prior_case_count"": 7, ""heinous_case_count"": 2, ""most_recent_case_days_ago"": 3, ""contribution_prior_cases"": 98, ""contribution_heinous"": 20, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
102,52.0,1,"{""prior_case_count"": 3, ""heinous_case_count"": 0, ""most_recent_case_days_ago"": 552, ""contribution_prior_cases"": 42, ""contribution_heinous"": 0, ""contribution_recency"": 0}",2026-07-13,heuristic-v1
103,100.0,1,"{""prior_case_count"": 6, ""heinous_case_count"": 1, ""most_recent_case_days_ago"": 40, ""contribution_prior_cases"": 84, ""contribution_heinous"": 10, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
104,100.0,1,"{""prior_case_count"": 10, ""heinous_case_count"": 3, ""most_recent_case_days_ago"": 66, ""contribution_prior_cases"": 140, ""contribution_heinous"": 30, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
105,100.0,1,"{""prior_case_count"": 9, ""heinous_case_count"": 2, ""most_recent_case_days_ago"": 69, ""contribution_prior_cases"": 126, ""contribution_heinous"": 20, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
106,100.0,1,"{""prior_case_count"": 6, ""heinous_case_count"": 3, ""most_recent_case_days_ago"": 55, ""contribution_prior_cases"": 84, ""contribution_heinous"": 30, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
107,100.0,1,"{""prior_case_count"": 9, ""heinous_case_count"": 2, ""most_recent_case_days_ago"": 69, ""contribution_prior_cases"": 126, ""contribution_heinous"": 20, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
108,100.0,1,"{""prior_case_count"": 5, ""heinous_case_count"": 3, ""most_recent_case_days_ago"": 3, ""contribution_prior_cases"": 70, ""contribution_heinous"": 30, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
109,100.0,1,"{""prior_case_count"": 8, ""heinous_case_count"": 3, ""most_recent_case_days_ago"": 88, ""contribution_prior_cases"": 112, ""contribution_heinous"": 30, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
110,100.0,1,"{""prior_case_count"": 4, ""heinous_case_count"": 2, ""most_recent_case_days_ago"": 120, ""contribution_prior_cases"": 56, ""contribution_heinous"": 20, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
111,100.0,1,"{""prior_case_count"": 9, ""heinous_case_count"": 3, ""most_recent_case_days_ago"": 131, ""contribution_prior_cases"": 126, ""contribution_heinous"": 30, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
112,100.0,1,"{""prior_case_count"": 7, ""heinous_case_count"": 2, ""most_recent_case_days_ago"": 21, ""contribution_prior_cases"": 98, ""contribution_heinous"": 20, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
113,100.0,1,"{""prior_case_count"": 7, ""heinous_case_count"": 2, ""most_recent_case_days_ago"": 3, ""contribution_prior_cases"": 98, ""contribution_heinous"": 20, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
114,100.0,1,"{""prior_case_count"": 11, ""heinous_case_count"": 1, ""most_recent_case_days_ago"": 3, ""contribution_prior_cases"": 154, ""contribution_heinous"": 10, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
115,93.0,1,"{""prior_case_count"": 4, ""heinous_case_count"": 2, ""most_recent_case_days_ago"": 217, ""contribution_prior_cases"": 56, ""contribution_heinous"": 20, ""contribution_recency"": 7}",2026-07-13,heuristic-v1
116,100.0,1,"{""prior_case_count"": 8, ""heinous_case_count"": 1, ""most_recent_case_days_ago"": 46, ""contribution_prior_cases"": 112, ""contribution_heinous"": 10, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
117,100.0,1,"{""prior_case_count"": 8, ""heinous_case_count"": 1, ""most_recent_case_days_ago"": 28, ""contribution_prior_cases"": 112, ""contribution_heinous"": 10, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
118,81.0,1,"{""prior_case_count"": 4, ""heinous_case_count"": 0, ""most_recent_case_days_ago"": 154, ""contribution_prior_cases"": 56, ""contribution_heinous"": 0, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
119,100.0,1,"{""prior_case_count"": 4, ""heinous_case_count"": 2, ""most_recent_case_days_ago"": 3, ""contribution_prior_cases"": 56, ""contribution_heinous"": 20, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
120,100.0,1,"{""prior_case_count"": 10, ""heinous_case_count"": 3, ""most_recent_case_days_ago"": 33, ""contribution_prior_cases"": 140, ""contribution_heinous"": 30, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
121,100.0,1,"{""prior_case_count"": 9, ""heinous_case_count"": 2, ""most_recent_case_days_ago"": 25, ""contribution_prior_cases"": 126, ""contribution_heinous"": 20, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
122,95.0,1,"{""prior_case_count"": 5, ""heinous_case_count"": 0, ""most_recent_case_days_ago"": 3, ""contribution_prior_cases"": 70, ""contribution_heinous"": 0, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
123,100.0,1,"{""prior_case_count"": 7, ""heinous_case_count"": 0, ""most_recent_case_days_ago"": 67, ""contribution_prior_cases"": 98, ""contribution_heinous"": 0, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
